"id";"nhl_player_id";"year";"season";"name";"team";"pos";"gp";"hmgp";"rdgp";"dvgp";"g";"ppg";"esg";"shg";"gwg";"gtg";"1g";"otg";"hmg";"rdg";"dvg";"odvg";"eng";"gpg";"a";"ppa";"esa";"sha";"hma";"rda";"dva";"odva";"apg";"p";"ppp";"esp";"shp";"hmp";"rdp";"dvp";"odvp";"ptspg";"pm";"hmpm";"rdpm";"dvpm";"odvpm";"tmgf";"tmppgf";"tmga";"tmppga";"pim";"hmpim";"rdpim";"hmpen";"rdpen";"minor";"major";"misc";"gmisc";"match";"s";"sp";"toi";"toipg";"pptoi";"pptoipg";"estoi";"estoipg";"shtoi";"shtoipg";"hmevtoipg";"hmpptoipg";"hmshtoipg";"hmtoipg";"rdevtoipg";"rdpptoipg";"rdshtoipg";"rdtoipg";"shifts";"toipsft";"sftpg";"fo";"fow";"fol";"fop";"ppfow";"ppfol";"esfow";"esfol";"hmfo";"hmfow";"hmfol";"hmfop";"rdfo";"rdfow";"rdfol";"rdfop";"tmfop";"hits";"bks";"mss";"gva";"tka";"so";"sog";"sop";"sodg";"hmso";"hmsog";"hmsop";"hmsodg";"rdso";"rdsog";"rdsop";"rdsodg"
"21";"638";"2010";"regular";"Brenden Morrow";"DAL";"L";"5";"2";"3";"0";"5";"0";"5";"0";"0";NULL;"0";"0";"1";"4";"0";"5";"0";"1.00";"1";"0";"1";"0";"0";"1";"0";"1";"0.20";"6";"0";"6";"0";"1";"5";"0";"6";"1.20";"7";"1";"6";"0";"7";"9";"2";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"14";"35.70";"5450";"1090";"1189";"237";"4055";"811";"206";"41";"797";"162";"54";"1014";"820";"288";"32";"1140";"121";"45";"24";"1";"0";"1";"0.00";NULL;NULL;NULL;NULL;"0";"0";"0";"0.00";"1";"0";"1";"0.00";"0.30";"15";"0";"4";"3";"4";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"22";"1645";"2010";"regular";"Nathan Horton";"BOS";"R";"4";"1";"3";"0";"3";"1";"2";"0";"0";NULL;"0";"0";"2";"1";"0";"3";"0";"0.75";"3";"0";"3";"0";"0";"3";"0";"3";"0.75";"6";"1";"5";"0";"2";"4";"0";"6";"1.50";"3";"-1";"4";"0";"3";"7";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"10";"30.00";"3909";"977";"780";"195";"3129";"782";"0";"0";"897";"94";"0";"991";"744";"228";"0";"972";"78";"50";"20";"1";"0";"1";"0.00";NULL;NULL;NULL;NULL;"1";"0";"1";"0.00";"0";"0";"0";"0.00";"0.40";"3";"2";"4";"0";"1";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"23";"2432";"2010";"regular";"Blake Comeau";"NYI";"R";"6";"3";"3";"2";"3";"1";"2";"0";"1";NULL;"1";"0";"3";"0";"2";"1";"0";"0.50";"3";"1";"2";"0";"1";"2";"3";"0";"0.50";"6";"2";"4";"0";"4";"2";"5";"1";"1.00";"4";"4";"0";"4";"0";"9";"3";"3";"1";"6";"4";"2";"2";"1";"3";"0";"0";"0";"0";"18";"16.70";"7520";"1253";"1576";"262";"4987";"831";"957";"159";"768";"283";"137";"1188";"894";"242";"182";"1318";"160";"47";"27";"9";"3";"6";"33.30";NULL;NULL;NULL;NULL;"5";"2";"3";"40.00";"4";"1";"3";"25.00";"2.40";"7";"3";"5";"2";"4";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"24";"3553";"2010";"regular";"Josh Bailey";"NYI";"C";"6";"3";"3";"2";"3";"2";"1";"0";"1";NULL;"0";"0";"2";"1";"2";"1";"0";"0.50";"3";"1";"1";"1";"3";"0";"1";"2";"0.50";"6";"3";"2";"1";"5";"1";"3";"3";"1.00";"2";"3";"-1";"0";"2";"9";"5";"2";"0";"4";"2";"2";"1";"1";"2";"0";"0";"0";"0";"16";"18.80";"6687";"1114";"1535";"255";"4240";"706";"912";"152";"816";"287";"173";"1277";"597";"224";"130";"951";"137";"49";"23";"64";"29";"35";"45.30";"11";"10";"13";"22";"34";"14";"20";"41.20";"30";"15";"15";"50.00";"17.60";"4";"4";"4";"1";"4";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"25";"1646";"2010";"regular";"Corey Perry";"ANA";"R";"6";"3";"3";"1";"3";"1";"2";"0";"1";NULL;"0";"0";"3";"0";"1";"2";"0";"0.50";"3";"2";"1";"0";"3";"0";"1";"2";"0.50";"6";"3";"3";"0";"6";"0";"2";"4";"1.00";"2";"5";"-3";"3";"-1";"9";"4";"3";"0";"27";"4";"23";"2";"6";"6";"1";"1";"0";"0";"22";"13.60";"7280";"1213";"1518";"253";"5762";"960";"0";"0";"1009";"311";"0";"1320";"911";"195";"0";"1106";"130";"56";"22";"1";"0";"1";"0.00";NULL;NULL;NULL;NULL;"0";"0";"0";"0.00";"1";"0";"1";"0.00";"0.20";"2";"2";"11";"4";"3";"1";"0";"0.00";"0";"1";"0";"0.00";"0";"0";"0";"0.00";"0"
"26";"3239";"2010";"regular";"Patrick Kane";"CHI";"R";"6";"4";"2";"3";"2";"2";"0";"0";"0";NULL;"1";"0";"1";"1";"1";"1";"0";"0.33";"4";"1";"3";"0";"4";"0";"2";"2";"0.67";"6";"3";"3";"0";"5";"1";"3";"3";"1.00";"-5";"-2";"-3";"-2";"-3";"7";"4";"8";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"14";"14.30";"6746";"1124";"1472";"245";"5265";"877";"9";"1";"912";"222";"0";"1135";"808";"291";"3";"1103";"139";"49";"23";"1";"0";"1";"0.00";NULL;NULL;NULL;NULL;"0";"0";"0";"0.00";"1";"0";"1";"0.00";"0.20";"1";"2";"2";"2";"5";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"27";"2596";"2010";"regular";"Paul Stastny";"COL";"C";"6";"1";"5";"0";"2";"1";"1";"0";"1";NULL;"0";"1";"2";"0";"0";"2";"0";"0.33";"4";"1";"3";"0";"0";"4";"0";"4";"0.67";"6";"2";"4";"0";"2";"4";"0";"6";"1.00";"-1";"2";"-3";"0";"-1";"8";"3";"8";"2";"10";"0";"10";"0";"5";"5";"0";"0";"0";"0";"19";"10.50";"7923";"1320";"1194";"199";"5939";"989";"790";"131";"1037";"172";"262";"1471";"980";"204";"105";"1290";"160";"50";"27";"138";"65";"73";"47.10";"20";"10";"38";"54";"29";"17";"12";"58.60";"109";"48";"61";"44.00";"38.20";"7";"2";"4";"0";"2";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"28";"253";"2010";"regular";"Matt Cullen";"MIN";"C";"4";"3";"1";"1";"2";"2";"0";"0";"0";NULL;"0";"0";"2";"0";"1";"1";"0";"0.50";"4";"3";"1";"0";"4";"0";"1";"3";"1.00";"6";"5";"1";"0";"6";"0";"2";"4";"1.50";"-1";"-1";"0";"0";"-1";"8";"7";"2";"0";"4";"4";"0";"2";"0";"2";"0";"0";"0";"0";"9";"22.20";"4958";"1239";"1231";"307";"3323";"830";"404";"101";"799";"337";"98";"1235";"924";"220";"108";"1252";"98";"51";"25";"62";"38";"24";"61.30";"6";"5";"31";"17";"46";"26";"20";"56.50";"16";"12";"4";"75.00";"21.90";"2";"1";"6";"3";"3";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"29";"2514";"2010";"regular";"Evgeni Malkin";"PIT";"C";"7";"5";"2";"4";"2";"0";"2";"0";"1";NULL;"0";"0";"2";"0";"0";"2";"0";"0.29";"4";"4";"0";"0";"3";"1";"2";"2";"0.57";"6";"4";"2";"0";"5";"1";"2";"4";"0.86";"1";"0";"1";"1";"0";"10";"5";"4";"0";"2";"2";"0";"1";"0";"1";"0";"0";"0";"0";"30";"6.70";"9017";"1288";"2957";"422";"6020";"860";"40";"5";"949";"371";"5";"1327";"635";"549";"6";"1191";"140";"64";"20";"3";"0";"3";"0.00";NULL;NULL;NULL;NULL;"2";"0";"2";"0.00";"1";"0";"1";"0.00";"0.70";"4";"0";"12";"8";"8";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"30";"2801";"2010";"regular";"Steve Downie";"TBL";"R";"5";"2";"3";"2";"2";"2";"0";"0";"0";NULL;"1";"0";"2";"0";"1";"1";"0";"0.40";"4";"1";"3";"0";"2";"2";"1";"3";"0.80";"6";"3";"3";"0";"4";"2";"2";"4";"1.20";"3";"2";"1";"1";"2";"10";"5";"2";"0";"13";"2";"11";"1";"4";"4";"1";"0";"0";"0";"9";"22.20";"4409";"881";"685";"137";"3697";"739";"27";"5";"708";"169";"8";"886";"760";"115";"3";"879";"109";"40";"22";"9";"4";"5";"44.40";NULL;NULL;NULL;NULL;"2";"1";"1";"50.00";"7";"3";"4";"42.90";"2.90";"10";"2";"4";"1";"1";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
